sentence,aspect_term,category,opinion_term,polarity,implicitness
great atmoshere and worth every bit .,implicit,general,worth every,positive,IAEO
open late ( well as late as i ever got there and i ' m a night person ),implicit,general,implicit,positive,IAIO
winnie and her staff are the best crew you can find serving you .,winnie and,general,best crew,positive,EAEO
winnie and her staff are the best crew you can find serving you .,staff are,general,best crew,positive,EAEO
the food is reliable and the price is moderate .,food is,quality,reliable and,positive,EAEO
the food is reliable and the price is moderate .,implicit,price,moderate .,neutral,IAEO
what more can you ask for ?,implicit,general,implicit,positive,IAIO
everything about this restaurant was special .,restaurant was,general,special .,positive,EAEO
"the service was attentive , yet discreet .",service was,general,"attentive ,",positive,EAEO
"the service was attentive , yet discreet .",service was,general,discreet .,positive,EAEO
the flavors robust and subtle .,implicit,quality,robust and,positive,IAEO
the flavors robust and subtle .,implicit,quality,subtle .,positive,IAEO
the brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .,brioche and lollies as,quality,cute and,positive,EAEO
the brioche and lollies as party favors is a cute and sweet touch to a most memorable meal .,brioche and lollies as,quality,sweet touch,positive,EAEO
i ' m saving up for my next visit .,implicit,general,implicit,positive,IAIO
the place was quiet and delightful .,place was,general,quiet and,positive,EAEO
the place was quiet and delightful .,place was,general,delightful .,positive,EAEO
i did not try the caviar but i tried their salmon and crab salad ( they are all good ),salmon and,quality,good ),positive,EAEO
i did not try the caviar but i tried their salmon and crab salad ( they are all good ),crab salad (,quality,good ),positive,EAEO
"as a retired hipster , i can say with some degree of certainty that for the last year lucky strike has been the best laid - back late night in the city .",lucky strike has,general,best laid,positive,EAEO
"the wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she ' s - way - cuter - than - me - that - b @ # $ * way ) .",wait staff is,general,"pleasant ,",positive,EAEO
"the wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she ' s - way - cuter - than - me - that - b @ # $ * way ) .",wait staff is,general,"fun ,",positive,EAEO
"the wait staff is pleasant , fun , and for the most part gorgeous ( in the wonderful aesthetic beautification way , not in that she ' s - way - cuter - than - me - that - b @ # $ * way ) .",wait staff is,general,gorgeous (,positive,EAEO
"the food is yummy , especially their cooked - to - perfection mussels in spicy tomato sauce and their shoestring crispy fries .",food is,quality,"yummy ,",positive,EAEO
"the food is yummy , especially their cooked - to - perfection mussels in spicy tomato sauce and their shoestring crispy fries .",mussels in spicy tomato sauce and,quality,cooked - to - perfection mussels,positive,EAEO
"the food is yummy , especially their cooked - to - perfection mussels in spicy tomato sauce and their shoestring crispy fries .",fries .,quality,cooked - to - perfection mussels,positive,EAEO
"but the best part about ls is the late night atmosphere , delightfully free of the bts .","late night atmosphere ,",general,best part,positive,EAEO
"you can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",martini in,quality,delish martini,positive,EAEO
"you can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",martini in,ambience,delish martini,positive,EAEO
"you can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",martini in,price,delish martini,positive,EAEO
"you can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .","vanilla shanty ,",quality,recommend the,positive,EAEO
"you can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",setting with,general,homey setting,positive,EAEO
"you can get a completely delish martini in a glass ( that ' s about 2 1 / 2 drinks ) for $ 8 . 50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",music .,general,great music,positive,EAEO
"the in - house lady dj on saturday nights has outrageously good taste in music , and moreover , takes requests .",in - house lady dj on,general,good taste in,positive,EAEO
you ca n ' t go wrong with this place .,place .,general,ca n ' t go wrong with,positive,EAEO
suan is a great place that i often take my friends ( classmates ) too .,suan is,general,great place,positive,EAEO
"its location is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to suan again and again .",location is,general,good and,positive,EAEO
"its location is good and the fact that hutner college is near and their prices are very reasonable , makes students go back to suan again and again .",suan again,price,"reasonable ,",positive,EAEO
i love their thai,thai,quality,love their,positive,EAEO
noodles with shrimp and chicken and coconut juice is the must !,noodles with shrimp and chicken and coconut juice is,quality,must !,positive,EAEO
i will go back to suan soon !,suan soon,general,implicit,positive,EAIO
in summer - eat outside on a terrace ( another great feature of suan ) ! ! !,terrace (,general,great feature,positive,EAEO
i can not imagine a friendlier staff working in a restaurant .,staff working,general,friendlier staff,positive,EAEO
i can not imagine better indian food in all of the city .,indian food in,quality,better indian,positive,EAEO
i can not imagine you not rushing out to eat there .,implicit,general,implicit,positive,IAIO
"during the course of the past 3 months , the chef and staff changed and it was not for the better .",chef and,quality,not for the better .,negative,EAEO
"during the course of the past 3 months , the chef and staff changed and it was not for the better .",staff changed,general,not for the better .,negative,EAEO
i wish they would change back to what it was before .,implicit,general,implicit,negative,IAIO
the food now is inconsistent .,food now,quality,inconsistent .,negative,EAEO
this is the kind of place you ' d like to take all your friends to and still keep a secret .,place you,general,like to,positive,EAEO
the setting is casual and romantic .,setting is,general,casual and,positive,EAEO
the setting is casual and romantic .,setting is,general,romantic .,positive,EAEO
prices are very good .,implicit,price,good .,positive,IAEO
the food is excellent !,food is,quality,excellent !,positive,EAEO
"if you ' re daring , try the balsamic vinegar over icecream , it ' s wonderful !","balsamic vinegar over icecream ,",quality,try the,positive,EAEO
"if you ' re daring , try the balsamic vinegar over icecream , it ' s wonderful !","balsamic vinegar over icecream ,",quality,wonderful !,positive,EAEO
they were such a rip - off ( $ 8 . 95 for four small meat patties in steamed buns ) and not worth trying .,implicit,quality,not worth trying,negative,IAEO
they were such a rip - off ( $ 8 . 95 for four small meat patties in steamed buns ) and not worth trying .,implicit,ambience,small meat,negative,IAEO
they were such a rip - off ( $ 8 . 95 for four small meat patties in steamed buns ) and not worth trying .,implicit,price,rip - off (,negative,IAEO
"the rest of the dim sum , though pricey by chinatown standards , is worth it .","dim sum ,",price,pricey by,positive,EAEO
"the rest of the dim sum , though pricey by chinatown standards , is worth it .","dim sum ,",price,worth it,positive,EAEO
"the wait here is long for dim sum , but if you do n ' t like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for chinatown ) alternative .",wait here,general,long for,negative,EAEO
"the wait here is long for dim sum , but if you do n ' t like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for chinatown ) alternative .",atmosphere is,general,implicit,negative,EAIO
"the wait here is long for dim sum , but if you do n ' t like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for chinatown ) alternative .",implicit,general,implicit,negative,IAIO
"a few tips : skip the turnip cake , roast pork buns and egg custards .","turnip cake ,",quality,skip the,negative,EAEO
"a few tips : skip the turnip cake , roast pork buns and egg custards .",roast pork buns and,quality,skip the,negative,EAEO
"a few tips : skip the turnip cake , roast pork buns and egg custards .",egg custards .,quality,skip the,negative,EAEO
these are overpriced and you can get better just around the corner :,implicit,price,overpriced and,negative,IAEO
these are overpriced and you can get better just around the corner :,implicit,quality,implicit,negative,IAIO
i was pleasantly suprised .,implicit,general,pleasantly suprised,positive,IAEO
i was pleasantly suprised .,implicit,general,suprised .,positive,IAEO
the food was exceptional .,food was,quality,exceptional .,positive,EAEO
"i choose to go with one of the special , the braised lamb shank in red wine , which was excellent .","braised lamb shank in red wine ,",quality,excellent .,positive,EAEO
the service was friendly and the atmosphere was casual .,service was,general,friendly and,positive,EAEO
the service was friendly and the atmosphere was casual .,atmosphere was,general,casual .,neutral,EAEO
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,quality,enjoy a,positive,EAEO
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,meal,quality,great meal,positive,EAEO
the restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,restaurant is,general,noisy but,negative,EAEO
this little place has a cute interior decor and affordable city prices .,interior decor and,general,cute interior,positive,EAEO
this little place has a cute interior decor and affordable city prices .,place has,price,little place,positive,EAEO
"the pad se ew chicken was delicious , however the pad thai was far too oily .",pad se ew chicken was,quality,"delicious ,",positive,EAEO
"the pad se ew chicken was delicious , however the pad thai was far too oily .",pad thai was,quality,oily .,negative,EAEO
"have eaten at ginger house several times , and it ' s always good .",ginger house several,general,good .,positive,EAEO
the fried dumplings are great !,fried dumplings are,quality,great !,positive,EAEO
finally a reliable chinese restaurant !,chinese restaurant !,general,reliable chinese,positive,EAEO
this place would be so much better served by being run by a group that actually understands customer service .,customer service .,general,implicit,negative,EAIO
"the only thing you can do here is walk in and eat . . but planning an event , especially a small , intimate one , forget about it .",implicit,general,implicit,negative,IAIO
"they are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !",implicit,general,not helpful in,negative,IAEO
"nobody at this restaurant will give firm answers about anything and in the end , not one person takes responsibility for anything .",implicit,general,implicit,negative,IAIO
"terrible , terrible management - deserves to be shut - down .",management -,general,"terrible ,",negative,EAEO
"terrible , terrible management - deserves to be shut - down .",management -,general,terrible management,negative,EAEO
"terrible , terrible management - deserves to be shut - down .",implicit,general,implicit,negative,IAIO
never fails to please .,implicit,general,please .,positive,IAEO
"delicious bagels , especially when right out of the oven .","bagels ,",quality,delicious bagels,positive,EAEO
spreads and toppings are great - though a bit pricey .,spreads and,quality,great -,positive,EAEO
spreads and toppings are great - though a bit pricey .,spreads and,price,pricey .,negative,EAEO
spreads and toppings are great - though a bit pricey .,toppings are,quality,great -,positive,EAEO
spreads and toppings are great - though a bit pricey .,toppings are,price,pricey .,negative,EAEO
service is fast and friendly .,service is,general,fast and,positive,EAEO
service is fast and friendly .,service is,general,friendly .,positive,EAEO
"only drawback - they wo n ' t toast your bagel , and they do n ' t make eggs for the bagel .",implicit,general,implicit,negative,IAIO
but that is highly forgivable .,implicit,general,forgivable .,positive,IAEO
"been there , done that , and new york , it ' s not that big a deal .",implicit,general,implicit,neutral,IAIO
"the food is decent at best , and the ambience , well , it ' s a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying .",food is,quality,decent at,negative,EAEO
"the food is decent at best , and the ambience , well , it ' s a matter of opinion , some may consider it to be a sweet thing , i thought it was just annoying .","ambience ,",general,annoying .,negative,EAEO
"if celebrities make you sweat , then your in for a ride , but if your like most around these parts then you ' ll just yawn and wonder whats with all the hype .",implicit,general,implicit,negative,IAIO
"rao is a good restaurant , but it ' s nothing special .",rao is,general,good restaurant,neutral,EAEO
"rao is a good restaurant , but it ' s nothing special .",rao is,general,nothing special .,neutral,EAEO
"but after last night , spice grill is the only place i ' m eating indian cuisine .",indian cuisine .,quality,implicit,positive,EAIO
you must try the shrimp appetizers .,shrimp appetizers .,quality,implicit,positive,EAIO
even my indian friend could n ' t believe how good and tasty everything was .,implicit,quality,good and,positive,IAEO
even my indian friend could n ' t believe how good and tasty everything was .,implicit,quality,tasty everything,positive,IAEO
this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,ambience and,general,correct ambience,positive,EAEO
this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,staff to,general,excellent staff,positive,EAEO
"great food , great prices , great service .","food ,",quality,great food,positive,EAEO
"great food , great prices , great service .",service .,general,great service,positive,EAEO
"great food , great prices , great service .",implicit,price,great prices,positive,IAEO
"if you are looking for a good quality , cheap eats - this is the place .",eats -,quality,"good quality ,",positive,EAEO
"if you are looking for a good quality , cheap eats - this is the place .",eats -,price,cheap eats,positive,EAEO
it ' s a perfect place to have a amazing indian food .,indian food .,quality,amazing indian,positive,EAEO
i really loved the different and inovated touch that ' s the cheff gives to the food .,cheff gives,ambience,loved the,positive,EAEO
i really loved the different and inovated touch that ' s the cheff gives to the food .,cheff gives,ambience,inovated touch,positive,EAEO
"also it ' s great to have dinner in a very romantic and comfortable place , the service it ' s just perfect . . . they ' re so frendly that we never want to live the place !",service it,general,"place ,",positive,EAEO
"also it ' s great to have dinner in a very romantic and comfortable place , the service it ' s just perfect . . . they ' re so frendly that we never want to live the place !",service it,general,the service,positive,EAEO
"also it ' s great to have dinner in a very romantic and comfortable place , the service it ' s just perfect . . . they ' re so frendly that we never want to live the place !",just perfect,general,' re so,positive,EAEO
"their bagels are fine , but they are a little overcooked , and not really a ' special ' bagel experience .",bagels are,quality,"fine ,",negative,EAEO
"their bagels are fine , but they are a little overcooked , and not really a ' special ' bagel experience .",bagels are,quality,"overcooked ,",negative,EAEO
great bagels made the old - fashioned way .,bagels made,quality,great bagels,positive,EAEO
great bagels made the old - fashioned way .,bagels made,ambience,great bagels,positive,EAEO
drawbacks : service is slow and they do n ' t toast !,service is,general,slow and,negative,EAEO
the food was absolutely amazing ! !,food was,quality,amazing !,positive,EAEO
the baked clams octopus we shared as appetizers were the best we ' ve ever had ! !,baked clams octopus we,quality,best we,positive,EAEO
"the lamb was tender so full of flavor , the dessert was divine ! !",lamb was,quality,tender so,positive,EAEO
"the lamb was tender so full of flavor , the dessert was divine ! !",lamb was,quality,"full of flavor ,",positive,EAEO
"the lamb was tender so full of flavor , the dessert was divine ! !",dessert was,quality,divine !,positive,EAEO
the waiter was attentive .,waiter was,general,attentive .,positive,EAEO
the place itself is beautiful the bar scene seems to be happening .,place itself,general,beautiful the,positive,EAEO
the place itself is beautiful the bar scene seems to be happening .,bar scene seems,general,implicit,positive,EAIO
"downtown dinner 2002 - prixe fix : appetizers were ok , waiter gave me poor suggestion . . . try the potato stuff kanish best one .",appetizers were,quality,"ok ,",neutral,EAEO
"downtown dinner 2002 - prixe fix : appetizers were ok , waiter gave me poor suggestion . . . try the potato stuff kanish best one .",waiter gave,general,poor suggestion,negative,EAEO
"downtown dinner 2002 - prixe fix : appetizers were ok , waiter gave me poor suggestion . . . try the potato stuff kanish best one .",waiter gave,general,poor suggestion,negative,EAEO
dessert is a joke . . . dont bother,dessert is,quality,joke .,negative,EAEO
"volare virgins or weekly regulars , everyone gets treated the same and you ca n ' t ask for more than that when the service is this friendly .",service is,general,friendly .,positive,EAEO
"the restaurant has a family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .",restaurant has,general,"family feel ,",positive,EAEO
"the restaurant has a family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .",portions which,ambience,enormous ;,positive,EAEO
"the restaurant has a family feel , not least with regard to the portions which are enormous ; the veal alone could have single - handedly solved third world famine .",veal alone,ambience,implicit,positive,EAIO
"the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .",anti - pasta was,quality,"excellent ,",positive,EAEO
"the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .","calamari ,",quality,"excellent ,",positive,EAEO
"the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .",pasta mains .,quality,"excellent ,",positive,EAEO
"the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .",pasta mains .,ambience,"excellent ,",positive,EAEO
the wine list is extensive and can easily hike up an otherwise reasonably priced meal .,wine list is,ambience,extensive and,positive,EAEO
the wine list is extensive and can easily hike up an otherwise reasonably priced meal .,meal .,price,reasonably priced meal,positive,EAEO
"still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .",measures of liquers which,ambience,pour - your - own measures,positive,EAEO
"still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .",measures of liquers which,ambience,courtesey of,positive,EAEO
"still , any quibbles about the bill were off - set by the pour - your - own measures of liquers which were courtesey of the house . . .",implicit,price,implicit,neutral,IAIO
fantastic place .,place .,general,fantastic place,positive,EAEO
a pleasant surprise .,implicit,general,pleasant surprise,positive,IAEO
go there to relax and feel like your somewhere else .,implicit,general,relax and,positive,IAEO
lucky strike is a great casual place to just grab a bite to eat .,lucky strike is,general,great casual,positive,EAEO
lucky strike is a great casual place to just grab a bite to eat .,lucky strike is,general,casual place,positive,EAEO
"great food , great decor , great service .","food ,",quality,great food,positive,EAEO
"great food , great decor , great service .","decor ,",general,great decor,positive,EAEO
"great food , great decor , great service .",service .,general,great service,positive,EAEO
i recommend it !,implicit,general,recommend it,positive,IAEO
"this is the perfect spot for meeting friends , having lunch , dinner , pre - theatre or after - theatre drinks !",spot for,general,perfect spot,positive,EAEO
( always ask the bartender for the seasonal beer ! ! !,seasonal beer !,quality,implicit,positive,EAIO
guaranteed to be a tasty experience ! ),implicit,quality,tasty experience,positive,IAEO
i have been doing all of the above at the heartland brewery for over 5 years now and i have never been disappointed !,heartland brewery for,general,never been disappointed !,positive,EAEO
all the people that i bring there go back on their own and bring their friends !,implicit,general,implicit,positive,IAIO
go there once and oh yes . . . you will go back . . . you will . . .,implicit,general,implicit,positive,IAIO
"a cool bar with great food , and tons of excellent beer .",bar with,general,cool bar,positive,EAEO
"a cool bar with great food , and tons of excellent beer .","food ,",quality,great food,positive,EAEO
"a cool bar with great food , and tons of excellent beer .",beer .,quality,excellent beer,positive,EAEO
"a cool bar with great food , and tons of excellent beer .",beer .,ambience,excellent beer,positive,EAEO
and even with it ' s pub atmosphere they were great to my kids too !,implicit,general,implicit,positive,IAIO
loved it !,implicit,general,loved it,positive,IAEO
the shrimp scampi was excellent and the antipasti were plentiful .,shrimp scampi was,quality,excellent and,positive,EAEO
the shrimp scampi was excellent and the antipasti were plentiful .,antipasti were,ambience,plentiful .,positive,EAEO
it is expensive but well worth the money .,implicit,price,expensive but,negative,IAEO
it is expensive but well worth the money .,implicit,general,worth the,positive,IAEO
"if you venture off the island of manhattan and ca n ' t seem to find a great italian restaurant , drive to corona .",corona .,general,implicit,positive,EAIO
the only thing more wonderful than the food ( which is exceptional ) is the service .,food (,quality,exceptional ),positive,EAEO
the only thing more wonderful than the food ( which is exceptional ) is the service .,service .,general,wonderful than,positive,EAEO
the only thing the waiters do n ' t do for you is wipe your chin when you leave .,waiters do,general,implicit,positive,EAIO
wonderful at holiday time .,implicit,general,wonderful at,positive,IAEO
cozy romantic atomosphere with only around 15 tables at most .,atomosphere with,general,cozy romantic,positive,EAEO
cozy romantic atomosphere with only around 15 tables at most .,atomosphere with,general,romantic atomosphere,positive,EAEO
"food was very good , but not what i would consider out of this world .",food was,quality,"good ,",neutral,EAEO
go here for a romantic dinner but not for an all out wow dining experience .,implicit,general,romantic dinner,positive,IAEO
go here for a romantic dinner but not for an all out wow dining experience .,implicit,general,wow dining,positive,IAEO
my friend from milan and myself were pleasantly surprised when we arrived and everyone spoke italian .,implicit,general,surprised when,positive,IAEO
too bad the food was n ' t of the same heritage .,food was,quality,bad the,negative,EAEO
"the porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",porcini mushroom pasta special was,quality,"tasteless ,",negative,EAEO
"the porcini mushroom pasta special was tasteless , so was the seafood tagliatelle .",seafood tagliatelle .,quality,"tasteless ,",negative,EAEO
a real dissapointment .,implicit,quality,dissapointment .,negative,IAEO
but that was n ' t the icing on the cake : a tiramisu that resembled nothing i have ever had .,tiramisu that,quality,nothing i,negative,EAEO
they should have called it mascarpone with chocolate chips - good but a far cry from what the name implies .,implicit,quality,implicit,negative,IAIO
priced at upper intermediate range .,implicit,price,implicit,negative,IAIO
it was pretty inexpensive too .,implicit,price,inexpensive too,positive,IAEO
this place has the best chinese style bbq ribs in the city .,bbq ribs in,quality,best chinese,positive,EAEO
this place has the best chinese style bbq ribs in the city .,bbq ribs in,ambience,best chinese,positive,EAEO
it ' s great to go for a quick lunch either alone or with a friend .,implicit,general,great to,positive,IAEO
it ' s definately not a place to go if you want to impress someone .,place to,general,impress someone,negative,EAEO
"however , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .",food at,quality,great food,positive,EAEO
"however , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .",food at,price,great price,positive,EAEO
"however , if you want great food at a great price and do n ' t mind the decor , you ca n ' t beat this place .","decor ,",general,implicit,neutral,EAIO
quick and friendly service .,service .,general,quick and,positive,EAEO
quick and friendly service .,service .,general,friendly service,positive,EAEO
this is one of the best comfort food places in the city .,implicit,general,best comfort,positive,IAEO
this is one of the best comfort food places in the city .,implicit,general,comfort food,positive,IAEO
it ' s somewhere you can eat and be happy .,implicit,general,happy .,positive,IAEO
"when you ' re sitting in their main dining room ( which has a spectacular , hand - painted high ceiling ) you ' d never know there was a world outside .",main dining room (,general,implicit,positive,EAIO
"when you ' re sitting in their main dining room ( which has a spectacular , hand - painted high ceiling ) you ' d never know there was a world outside .",ceiling ),general,"spectacular ,",positive,EAEO
"when you ' re sitting in their main dining room ( which has a spectacular , hand - painted high ceiling ) you ' d never know there was a world outside .",ceiling ),general,hand - painted high ceiling,positive,EAEO
"the food is wonderful , tasty and filling , and the service is professional and friendly .",food is,quality,"wonderful ,",positive,EAEO
"the food is wonderful , tasty and filling , and the service is professional and friendly .",food is,quality,tasty and,positive,EAEO
"the food is wonderful , tasty and filling , and the service is professional and friendly .",food is,ambience,"filling ,",positive,EAEO
"the food is wonderful , tasty and filling , and the service is professional and friendly .",service is,general,professional and,positive,EAEO
"the food is wonderful , tasty and filling , and the service is professional and friendly .",service is,general,friendly .,positive,EAEO
"i ca n ' t wait for summer , when they serve outside on their gigantic patio .",patio .,general,gigantic patio,positive,EAEO
this little place definitely exceeded my expectations and you sure get a lot of food for your money .,food for,ambience,implicit,positive,EAIO
this little place definitely exceeded my expectations and you sure get a lot of food for your money .,food for,price,implicit,positive,EAIO
this little place definitely exceeded my expectations and you sure get a lot of food for your money .,place definitely,general,exceeded my expectations and,positive,EAEO
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,service was,general,fast and,positive,EAEO
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,service was,general,friendly and,positive,EAEO
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,food was,quality,tasty and,positive,EAEO
the service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals .,hot sauce to,quality,best hot,positive,EAEO
i have to say that i am pleasantly suprised and i will most likely stop in again if i am in the neighborhood .,implicit,general,pleasantly suprised and,positive,IAEO
they all know you .,implicit,general,implicit,positive,IAIO
good food .,food .,quality,good food,positive,EAEO
good drink .,drink .,quality,good drink,positive,EAEO
how do you rate home ?,implicit,general,implicit,positive,IAIO
i have never had cheescake like this .,cheescake like,quality,implicit,positive,EAIO
i thought i had died and gone to heaven .,implicit,quality,implicit,positive,IAIO
"great spot , whether looking for a couple of drinks or quiet dinner .","spot ,",general,great spot,positive,EAEO
"great spot , whether looking for a couple of drinks or quiet dinner .","spot ,",general,great spot,positive,EAEO
warm and friendly in the winter and terrific outdoor seating in the warmer months .,outdoor seating in,general,terrific outdoor,positive,EAEO
warm and friendly in the winter and terrific outdoor seating in the warmer months .,implicit,general,warm and,positive,IAEO
warm and friendly in the winter and terrific outdoor seating in the warmer months .,implicit,general,friendly in,positive,IAEO
the food is great and they have a good selection of wines at reasonable prices .,food is,quality,great and,positive,EAEO
the food is great and they have a good selection of wines at reasonable prices .,wines at,ambience,good selection of,positive,EAEO
the food is great and they have a good selection of wines at reasonable prices .,wines at,price,reasonable prices,positive,EAEO
we were less than impressed .,implicit,general,less than impressed .,negative,IAEO
"while the ambiance and atmosphere were great , the food and service could have been a lot better .",ambiance and,general,"great ,",positive,EAEO
"while the ambiance and atmosphere were great , the food and service could have been a lot better .",atmosphere were,general,"great ,",positive,EAEO
"while the ambiance and atmosphere were great , the food and service could have been a lot better .",food and,quality,could have been a lot better .,negative,EAEO
"while the ambiance and atmosphere were great , the food and service could have been a lot better .",service could,general,could have been a lot better .,negative,EAEO
"we ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .","chicken casserole ,",quality,implicit,negative,EAIO
"we ordered the chicken casserole , but what we got were a few small pieces of chicken , all dark meat and on the bone .","chicken casserole ,",ambience,implicit,negative,EAIO
probably would not go again . . .,implicit,general,implicit,negative,IAIO
"i ' ve been to sapphire twice and both times the food was fine , if not good .",food was,quality,"fine ,",positive,EAEO
"stick with the chicken , beef , and lamb dishes .","chicken ,",quality,stick with,positive,EAEO
"stick with the chicken , beef , and lamb dishes .","beef ,",quality,stick with,positive,EAEO
"stick with the chicken , beef , and lamb dishes .",lamb dishes .,quality,stick with,positive,EAEO
"service is friendly , and never had a problem walking in and getting a table .",service is,general,"friendly ,",positive,EAEO
"service is friendly , and never had a problem walking in and getting a table .",implicit,general,implicit,positive,IAIO
skip dessert .,dessert .,quality,skip dessert,negative,EAEO
best reuben sandwich ever !,reuben sandwich ever,quality,best reuben,positive,EAEO
a classic !,implicit,quality,classic !,positive,IAEO
do n ' t miss bloom ' s on your next trip to manhatten .,bloom ' s on,general,n ' t miss bloom,negative,EAEO
"it was the first place we ate on our first trip to new york , and it will be the last place we stop as we head out of town on our next trip to new york .",place we,general,implicit,positive,EAIO
thanks bloom ' s for a lovely trip .,bloom ' s for,general,lovely trip,positive,EAEO
"the food was not fresh , the sauces were bland and very oily .",food was,quality,"not fresh ,",negative,EAEO
"the food was not fresh , the sauces were bland and very oily .",sauces were,quality,bland and,negative,EAEO
"the food was not fresh , the sauces were bland and very oily .",sauces were,quality,oily .,negative,EAEO
it just was n ' t thai .,implicit,quality,implicit,negative,IAIO
was surprisingly disappointed .,implicit,quality,disappointed .,negative,IAEO
pizza was a little soggy .,pizza was,quality,soggy .,negative,EAEO
ravioli was good . . . but i have to say that i found everything a bit overpriced .,ravioli was,quality,good .,positive,EAEO
ravioli was good . . . but i have to say that i found everything a bit overpriced .,implicit,price,overpriced .,negative,IAEO
not enough wines by the glass either .,wines by the glass either,ambience,not enough wines,negative,EAEO
"service , however , was excellent . . . and i liked the setting / atmosphere a lot .","service ,",general,excellent .,positive,EAEO
"service , however , was excellent . . . and i liked the setting / atmosphere a lot .",setting / atmosphere a,general,liked the,positive,EAEO
"food was just average . . . if they lowered the prices just a bit , it would be a bigger draw .",food was,quality,average .,neutral,EAEO
"food was just average . . . if they lowered the prices just a bit , it would be a bigger draw .",implicit,price,implicit,negative,IAIO
authentic pakistani food .,pakistani food .,quality,authentic pakistani,positive,EAEO
"just straight up cheap , good food .",food .,quality,good food,positive,EAEO
"just straight up cheap , good food .",food .,price,"cheap ,",positive,EAEO
faan is sooo good .,faan is,general,good .,positive,EAEO
the design and atmosphere is just as good .,design and,general,good .,positive,EAEO
the design and atmosphere is just as good .,atmosphere is,general,good .,positive,EAEO
bottles of wine are cheap and good .,bottles of wine are,price,cheap and,positive,EAEO
bottles of wine are cheap and good .,bottles of wine are,quality,good .,positive,EAEO
what more could you want ?,implicit,general,implicit,positive,IAIO
the food was actually aweful .,food was,quality,aweful .,negative,EAEO
i ' m not picky - but it was actually gross .,implicit,quality,gross .,negative,IAEO
"the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .",mussles were,quality,fishiest things,negative,EAEO
"the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .",seabass was,quality,"bland ,",negative,EAEO
"the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .",goat cheese salad was,quality,missing the,negative,EAEO
"the mussles were the fishiest things i ' ve ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w / chicken had bones in it . . . it was disgusting .",penne w / chicken had,quality,disgusting .,negative,EAEO
